航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,isLowCostCarrier,出发日期,出发时间,到达日期,到达时间,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
9C8716,1,9C,春秋航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,155,0,320,空客320(中),M,2024-04-01 13:20:00,2024-04-01 15:55:00,False,False,0,False,True,True,2024-04-01,13:20:00,2024-04-01,15:55:00,,,,,490,323,813,1329,,,,,2024-03-09
MU502,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,170,0,73E,波音738(中),M,2024-04-01 12:50:00,2024-04-01 15:40:00,False,False,0,False,True,,2024-04-01,12:50:00,2024-04-01,15:40:00,,,,,768,339,1107,1673,,,,,2024-03-09
FM3030,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,170,0,32L,空客321(中),M,2024-04-01 07:30:00,2024-04-01 10:20:00,False,False,0,False,True,,2024-04-01,07:30:00,2024-04-01,10:20:00,MU,东方航空,天合联盟,MU726,773,340,1113,1679,,,,,2024-03-09
FM3018,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,185,0,325,空客321(中),M,2024-04-01 15:55:00,2024-04-01 19:00:00,False,False,0,False,True,,2024-04-01,15:55:00,2024-04-01,19:00:00,MU,东方航空,天合联盟,MU504,773,340,1113,1729,,,,,2024-03-09
MU722,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,155,0,33H,空客330(大),L,2024-04-01 12:05:00,2024-04-01 14:40:00,False,False,0,False,True,,2024-04-01,12:05:00,2024-04-01,14:40:00,,,,,768,339,1107,1623,,,,,2024-03-09
MU726,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,170,0,32L,空客321(中),M,2024-04-01 07:30:00,2024-04-01 10:20:00,False,False,0,False,True,,2024-04-01,07:30:00,2024-04-01,10:20:00,,,,,768,339,1107,1673,,,,,2024-03-09
CX380,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,77W,波音777(大),L,2024-04-01 15:00:00,2024-04-01 17:50:00,False,False,0,False,True,,2024-04-01,15:00:00,2024-04-01,17:50:00,,,,,1772,397,2169,2735,,,,,2024-03-09
MU5018,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,140,0,333,空客330(大),L,2024-04-01 12:50:00,2024-04-01 15:10:00,False,False,0,False,True,,2024-04-01,12:50:00,2024-04-01,15:10:00,,,,,768,339,1107,1573,,,,,2024-03-09
HX246,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,160,0,320,空客320(中),M,2024-04-01 13:00:00,2024-04-01 15:40:00,False,False,0,False,True,,2024-04-01,13:00:00,2024-04-01,15:40:00,,,,,739,397,1136,1668,,,,,2024-03-09
FM3014,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,155,0,33H,空客330(大),L,2024-04-01 12:05:00,2024-04-01 14:40:00,False,False,0,False,True,,2024-04-01,12:05:00,2024-04-01,14:40:00,MU,东方航空,天合联盟,MU722,773,340,1113,1629,,,,,2024-03-09
FM3016,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,170,0,73E,波音738(中),M,2024-04-01 12:50:00,2024-04-01 15:40:00,False,False,0,False,True,,2024-04-01,12:50:00,2024-04-01,15:40:00,MU,东方航空,天合联盟,MU502,773,340,1113,1679,,,,,2024-03-09
HX238,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,140,0,333,空客330(大),L,2024-04-01 15:40:00,2024-04-01 18:00:00,False,False,0,False,True,,2024-04-01,15:40:00,2024-04-01,18:00:00,,,,,739,397,1136,1602,,,,,2024-03-09
FM3022,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,160,0,320,空客320(中),M,2024-04-01 15:05:00,2024-04-01 17:45:00,False,False,0,False,True,,2024-04-01,15:05:00,2024-04-01,17:45:00,MU,东方航空,天合联盟,MU508,773,340,1113,1645,,,,,2024-03-09
FM3026,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,170,0,325,空客321(中),M,2024-04-01 13:55:00,2024-04-01 16:45:00,False,False,0,False,True,,2024-04-01,13:55:00,2024-04-01,16:45:00,MU,东方航空,天合联盟,MU702,773,340,1113,1679,,,,,2024-03-09
FM3012,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,140,0,333,空客330(大),L,2024-04-01 12:50:00,2024-04-01 15:10:00,False,False,0,False,True,,2024-04-01,12:50:00,2024-04-01,15:10:00,MU,东方航空,天合联盟,MU5018,773,340,1113,1579,,,,,2024-03-09
FM3028,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,175,0,32L,空客321(中),M,2024-04-01 09:45:00,2024-04-01 12:40:00,False,False,0,False,True,,2024-04-01,09:45:00,2024-04-01,12:40:00,MU,东方航空,天合联盟,MU724,773,340,1113,1695,,,,,2024-03-09
MU724,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,175,0,32L,空客321(中),M,2024-04-01 09:45:00,2024-04-01 12:40:00,False,False,0,False,True,,2024-04-01,09:45:00,2024-04-01,12:40:00,,,,,768,339,1107,1689,,,,,2024-03-09
CX368,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,165,0,773,波音777(大),L,2024-04-01 09:25:00,2024-04-01 12:10:00,False,False,0,False,True,,2024-04-01,09:25:00,2024-04-01,12:10:00,,,,,2297,397,2694,3243,,,,,2024-03-09
HX232,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,333,空客330(大),L,2024-04-01 19:05:00,2024-04-01 21:55:00,False,False,0,False,True,,2024-04-01,19:05:00,2024-04-01,21:55:00,,,,,517,397,914,1480,,,,,2024-03-09
HX236,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,155,0,320,空客320(中),M,2024-04-01 08:05:00,2024-04-01 10:40:00,False,False,0,False,True,,2024-04-01,08:05:00,2024-04-01,10:40:00,,,,,739,397,1136,1652,,,,,2024-03-09
FM810,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,145,0,73E,波音738(中),M,2024-04-01 18:50:00,2024-04-01 21:15:00,False,False,0,False,True,,2024-04-01,18:50:00,2024-04-01,21:15:00,,,,,773,340,1113,1595,,,,,2024-03-09
HO1292,1,HO,吉祥航空,星空联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,160,0,32S,空客32S(中),M,2024-04-01 20:40:00,2024-04-01 23:20:00,False,False,0,False,True,,2024-04-01,20:40:00,2024-04-01,23:20:00,,,,,598,397,995,1527,,,,,2024-03-09
FM3020,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,160,0,323,空客320(中),M,2024-04-01 20:05:00,2024-04-01 22:45:00,False,False,0,False,True,,2024-04-01,20:05:00,2024-04-01,22:45:00,MU,东方航空,天合联盟,MU506,773,340,1113,1645,,,,,2024-03-09
CX360,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,77W,波音777(大),L,2024-04-01 13:40:00,2024-04-01 16:30:00,False,False,0,False,True,,2024-04-01,13:40:00,2024-04-01,16:30:00,,,,,2297,397,2694,3260,,,,,2024-03-09
MU504,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,185,0,325,空客321(中),M,2024-04-01 15:55:00,2024-04-01 19:00:00,False,False,0,False,True,,2024-04-01,15:55:00,2024-04-01,19:00:00,,,,,768,339,1107,1723,,,,,2024-03-09
MU506,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,160,0,323,空客320(中),M,2024-04-01 20:05:00,2024-04-01 22:45:00,False,False,0,False,True,,2024-04-01,20:05:00,2024-04-01,22:45:00,,,,,768,339,1107,1639,,,,,2024-03-09
HX234,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,320,空客320(中),M,2024-04-01 21:00:00,2024-04-01 23:50:00,False,False,0,False,True,,2024-04-01,21:00:00,2024-04-01,23:50:00,,,,,411,397,808,1374,,,,,2024-03-09
CX362,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,165,0,333,空客330(大),L,2024-04-01 19:20:00,2024-04-01 22:05:00,False,False,0,False,True,,2024-04-01,19:20:00,2024-04-01,22:05:00,,,,,1772,397,2169,2718,,,,,2024-03-09
MU510,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,185,0,32L,空客321(中),M,2024-04-01 17:05:00,2024-04-01 20:10:00,False,False,0,False,True,,2024-04-01,17:05:00,2024-04-01,20:10:00,,,,,768,339,1107,1723,,,,,2024-03-09
