航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,isLowCostCarrier,operateAirlineCode,operateAirlineName,operateAlliance,stopList,operateFlightNo,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
JL735,1,JL,日本航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,788,波音787(大),L,2024-04-01 18:20:00,2024-04-01 22:00:00,False,False,0,False,True,2024-04-01,18:20:00,2024-04-01,22:00:00,,,,,,,10185,659,10844,11776,,,,,2024-03-09
HB323,1,HB,大湾区航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,738,波音737(中),M,2024-04-01 17:40:00,2024-04-01 21:40:00,False,False,0,False,True,2024-04-01,17:40:00,2024-04-01,21:40:00,,,,,,,2335,662,2997,3996,,,,,2024-03-09
UO849,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,321,空客321(中),M,2024-04-01 15:45:00,2024-04-01 19:40:00,False,False,0,False,True,2024-04-01,15:45:00,2024-04-01,19:40:00,True,,,,,,1264,399,1663,2645,,,,,2024-03-09
HB2525,1,HB,大湾区航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,738,波音737(中),M,2024-04-01 20:10:00,2024-04-02 00:10:00,False,False,0,False,True,2024-04-01,20:10:00,2024-04-02,00:10:00,,,,,,,1568,662,2230,3229,,,,,2024-03-09
NH859,1,NH,全日空航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,788,波音787(大),L,2024-04-01 08:50:00,2024-04-01 12:30:00,False,False,0,False,True,2024-04-01,08:50:00,2024-04-01,12:30:00,True,NQ,Air Japan航空,,,,12133,719,12852,13784,,,,,2024-03-09
UO651,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,321,空客321(中),M,2024-04-01 20:40:00,2024-04-02 00:35:00,False,False,0,False,True,2024-04-01,20:40:00,2024-04-02,00:35:00,True,,,,,,1061,419,1480,2462,,,,,2024-03-09
HX611,1,HX,香港航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,333,空客330(大),L,2024-04-01 21:55:00,2024-04-02 01:50:00,False,False,0,False,True,2024-04-01,21:55:00,2024-04-02,01:50:00,,,,,,,1899,639,2538,3520,,,,,2024-03-09
CX521,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,290,0,77W,波音777(大),L,2024-04-01 17:15:00,2024-04-01 21:05:00,False,False,0,False,True,2024-04-01,17:15:00,2024-04-01,21:05:00,,,,,,,3414,732,4146,5111,,,,,2024-03-09
UO623,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,321,空客321(中),M,2024-04-01 01:00:00,2024-04-01 04:40:00,False,False,0,False,True,2024-04-01,01:00:00,2024-04-01,04:40:00,True,,,,,,1403,429,1832,2764,,,,,2024-03-09
CX527,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,333,空客330(大),L,2024-04-01 14:50:00,2024-04-01 18:50:00,False,False,0,False,True,2024-04-01,14:50:00,2024-04-01,18:50:00,,,,,,,3414,732,4146,5145,,,,,2024-03-09
CX451,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,405,0,773,波音777(大),L,2024-04-01 15:45:00,2024-04-01 21:30:00,False,False,1,False,True,2024-04-01,15:45:00,2024-04-01,21:30:00,,,,,"[{'countryName': '中国', 'provinceId': 53, 'cityCode': 'TPE', 'cityName': '台北', 'airportCode': 'TPE', 'airportName': '桃园机场', 'duration': 70, 'luggageDirectType': 0}]",,3414,846,4260,5608,,,,,2024-03-09
HX607,1,HX,香港航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,320,空客320(中),M,2024-04-01 09:30:00,2024-04-01 13:30:00,False,False,0,False,True,2024-04-01,09:30:00,2024-04-01,13:30:00,,,,,,,1471,639,2110,3109,,,,,2024-03-09
HX609,1,HX,香港航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,305,0,333,空客330(大),L,2024-04-01 15:55:00,2024-04-01 20:00:00,False,False,0,False,True,2024-04-01,15:55:00,2024-04-01,20:00:00,,,,,,,1471,639,2110,3125,,,,,2024-03-09
CX509,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,359,空客350(大),L,2024-04-01 09:15:00,2024-04-01 13:15:00,False,False,0,False,True,2024-04-01,09:15:00,2024-04-01,13:15:00,,,,,,,3414,732,4146,5145,,,,,2024-03-09
