航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,isLowCostCarrier,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
FM896,1,FM,上海航空,天合联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,225,0,73E,波音738(中),M,2024-04-01 17:10:00,2024-04-01 19:55:00,False,False,0,False,True,2024-04-01,17:10:00,2024-04-01,19:55:00,,,,,,1195,752,1947,2696,,,,,2024-03-02
FM816,1,FM,上海航空,天合联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,185,0,789,波音787(大),L,2024-04-01 13:30:00,2024-04-01 15:35:00,False,False,0,False,True,2024-04-01,13:30:00,2024-04-01,15:35:00,,,,,,1195,752,1947,2563,,,,,2024-03-02
HO3130,1,HO,吉祥航空,星空联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,200,0,789,波音787(大),L,2024-04-01 09:20:00,2024-04-01 11:40:00,False,False,0,False,True,2024-04-01,09:20:00,2024-04-01,11:40:00,NH,全日空航空,星空联盟,NH919,,3388,750,4138,4804,,,,,2024-03-02
NH919,1,NH,全日空航空,星空联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,200,0,789,波音787(大),L,2024-04-01 09:20:00,2024-04-01 11:40:00,False,False,0,False,True,2024-04-01,09:20:00,2024-04-01,11:40:00,,,,,,11887,741,12628,13294,,,,,2024-03-02
GK035,1,GK,捷星日本,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,,205,0,320,空客320(中),M,2024-04-01 22:25:00,2024-04-02 00:50:00,False,False,0,False,True,2024-04-01,22:25:00,2024-04-02,00:50:00,,,,,True,932,10,942,1624,,,,,2024-03-02
NH967,1,NH,全日空航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,185,0,788,波音787(大),L,2024-04-01 22:30:00,2024-04-02 00:35:00,False,False,0,False,True,2024-04-01,22:30:00,2024-04-02,00:35:00,,,,,,11887,738,12625,13241,,,,,2024-03-02
JL9569,1,JL,日本航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,200,0,33E,空客330(大),L,2024-04-01 16:55:00,2024-04-01 19:15:00,False,False,0,False,True,2024-04-01,16:55:00,2024-04-01,19:15:00,MU,东方航空,天合联盟,MU522,,13132,715,13847,14513,,,,,2024-03-02
JL085,1,JL,日本航空,寰宇一家,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,200,0,767,波音767(大),L,2024-04-01 11:40:00,2024-04-01 14:00:00,False,False,0,False,True,2024-04-01,11:40:00,2024-04-01,14:00:00,,,,,,13226,712,13938,14604,,,,,2024-03-02
JL5791,1,JL,日本航空,寰宇一家,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,195,0,773,波音777(大),L,2024-04-01 08:40:00,2024-04-01 10:55:00,False,False,0,False,True,2024-04-01,08:40:00,2024-04-01,10:55:00,MU,东方航空,天合联盟,MU576,,13383,712,14095,14744,,,,,2024-03-02
HO3136,1,HO,吉祥航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,185,0,788,波音787(大),L,2024-04-01 22:30:00,2024-04-02 00:35:00,False,False,0,False,True,2024-04-01,22:30:00,2024-04-02,00:35:00,NH,全日空航空,星空联盟,NH967,,3388,752,4140,4756,,,,,2024-03-02
NH969,1,NH,全日空航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T2,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,190,0,781,波音787(大),L,2024-04-01 10:05:00,2024-04-01 12:15:00,False,False,0,False,True,2024-04-01,10:05:00,2024-04-01,12:15:00,,,,,,12391,738,13129,13761,,,,,2024-03-02
CA924,1,CA,中国国航,星空联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,195,0,321,空客321(中),M,2024-04-01 13:35:00,2024-04-01 15:50:00,False,False,0,False,True,2024-04-01,13:35:00,2024-04-01,15:50:00,,,,,,1633,743,2376,3025,,,,,2024-03-02
JL9577,1,JL,日本航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,220,0,325,空客321(中),M,2024-04-01 13:00:00,2024-04-01 15:40:00,False,False,0,False,True,2024-04-01,13:00:00,2024-04-01,15:40:00,MU,东方航空,天合联盟,MU728,,13132,715,13847,14579,,,,,2024-03-02
JL5603,1,JL,日本航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,225,0,325,空客321(中),M,2024-04-01 10:55:00,2024-04-01 13:40:00,False,False,0,False,True,2024-04-01,10:55:00,2024-04-01,13:40:00,MU,东方航空,天合联盟,MU272,,13132,715,13847,14596,,,,,2024-03-02
NH971,1,NH,全日空航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,185,0,320,空客320(中),M,2024-04-01 18:35:00,2024-04-01 20:40:00,False,False,0,False,True,2024-04-01,18:35:00,2024-04-01,20:40:00,,,,,,11887,738,12625,13241,,,,,2024-03-02
HO1380,1,HO,吉祥航空,星空联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,185,0,789,波音787(大),L,2024-04-01 13:25:00,2024-04-01 15:30:00,False,False,0,False,True,2024-04-01,13:25:00,2024-04-01,15:30:00,,,,,,1110,750,1860,2476,,,,,2024-03-02
JL089,1,JL,日本航空,寰宇一家,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,200,0,773,波音777(大),L,2024-04-01 17:25:00,2024-04-01 19:45:00,False,False,0,False,True,2024-04-01,17:25:00,2024-04-01,19:45:00,,,,,,12979,712,13691,14357,,,,,2024-03-02
CA158,1,CA,中国国航,星空联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,190,0,321,空客321(中),M,2024-04-01 08:55:00,2024-04-01 11:05:00,False,False,0,False,True,2024-04-01,08:55:00,2024-04-01,11:05:00,,,,,,1105,743,1848,2480,,,,,2024-03-02
CZ8310,1,CZ,南方航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,210,0,32M,空客321(中),M,2024-04-01 14:35:00,2024-04-01 17:05:00,False,False,0,False,True,2024-04-01,14:35:00,2024-04-01,17:05:00,,,,,,1630,750,2380,3079,,,,,2024-03-02
CA920,1,CA,中国国航,星空联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,205,0,32A,空客320(中),M,2024-04-01 20:00:00,2024-04-01 22:25:00,False,False,0,False,True,2024-04-01,20:00:00,2024-04-01,22:25:00,,,,,,5690,743,6433,7115,,,,,2024-03-02
HO1386,1,HO,吉祥航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,175,0,32A,空客321(中),M,2024-04-01 00:05:00,2024-04-01 02:00:00,False,False,0,False,True,2024-04-01,00:05:00,2024-04-01,02:00:00,,,,,,650,752,1402,1984,,,,,2024-03-02
CA930,1,CA,中国国航,星空联盟,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,185,0,359,空客350(大),L,2024-04-01 15:55:00,2024-04-01 18:00:00,False,False,0,False,True,2024-04-01,15:55:00,2024-04-01,18:00:00,,,,,,2920,743,3663,4279,,,,,2024-03-02
JL081,1,JL,日本航空,寰宇一家,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,190,0,773,波音777(大),L,2024-04-01 09:15:00,2024-04-01 11:25:00,False,False,0,False,True,2024-04-01,09:15:00,2024-04-01,11:25:00,,,,,,13226,712,13938,14570,,,,,2024-03-02
HO3138,1,HO,吉祥航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,185,0,320,空客320(中),M,2024-04-01 18:35:00,2024-04-01 20:40:00,False,False,0,False,True,2024-04-01,18:35:00,2024-04-01,20:40:00,NH,全日空航空,星空联盟,NH971,,3388,752,4140,4756,,,,,2024-03-02
