航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,isLowCostCarrier,出发日期,出发时间,到达日期,到达时间,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
9C8716,1,9C,春秋航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,155,0,320,空客320(中),M,2024-04-01 13:20:00,2024-04-01 15:55:00,False,False,0,False,True,True,2024-04-01,13:20:00,2024-04-01,15:55:00,690,324,1014,1530,,,,,2024-02-07
MU502,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,170,0,73E,波音738(中),M,2024-04-01 12:50:00,2024-04-01 15:40:00,False,False,0,False,True,,2024-04-01,12:50:00,2024-04-01,15:40:00,1330,340,1670,2236,,,,,2024-02-07
CX348,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,155,0,333,空客330(大),L,2024-04-01 09:30:00,2024-04-01 12:05:00,False,False,0,False,True,,2024-04-01,09:30:00,2024-04-01,12:05:00,2287,396,2683,3199,,,,,2024-02-07
MU722,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,155,0,33H,空客330(大),L,2024-04-01 12:05:00,2024-04-01 14:40:00,False,False,0,False,True,,2024-04-01,12:05:00,2024-04-01,14:40:00,750,340,1090,1606,,,,,2024-02-07
MU726,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,170,0,32L,空客321(中),M,2024-04-01 07:30:00,2024-04-01 10:20:00,False,False,0,False,True,,2024-04-01,07:30:00,2024-04-01,10:20:00,1330,340,1670,2236,,,,,2024-02-07
CX380,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,333,空客330(大),L,2024-04-01 15:00:00,2024-04-01 17:50:00,False,False,0,False,True,,2024-04-01,15:00:00,2024-04-01,17:50:00,1762,396,2158,2724,,,,,2024-02-07
MU5018,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,140,0,333,空客330(大),L,2024-04-01 12:50:00,2024-04-01 15:10:00,False,False,0,False,True,,2024-04-01,12:50:00,2024-04-01,15:10:00,750,340,1090,1556,,,,,2024-02-07
HX246,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,160,0,320,空客320(中),M,2024-04-01 13:00:00,2024-04-01 15:40:00,False,False,0,False,True,,2024-04-01,13:00:00,2024-04-01,15:40:00,1283,396,1679,2211,,,,,2024-02-07
CX362,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,175,0,333,空客330(大),L,2024-04-01 19:10:00,2024-04-01 22:05:00,False,False,0,False,True,,2024-04-01,19:10:00,2024-04-01,22:05:00,1762,396,2158,2740,,,,,2024-02-07
HX236,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,145,0,320,空客320(中),M,2024-04-01 08:15:00,2024-04-01 10:40:00,False,False,0,False,True,,2024-04-01,08:15:00,2024-04-01,10:40:00,1283,396,1679,2161,,,,,2024-02-07
MU724,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,175,0,32L,空客321(中),M,2024-04-01 09:45:00,2024-04-01 12:40:00,False,False,0,False,True,,2024-04-01,09:45:00,2024-04-01,12:40:00,1330,340,1670,2252,,,,,2024-02-07
HX238,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,155,0,320,空客320(中),M,2024-04-01 15:25:00,2024-04-01 18:00:00,False,False,0,False,True,,2024-04-01,15:25:00,2024-04-01,18:00:00,1283,396,1679,2195,,,,,2024-02-07
HX232,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,320,空客320(中),M,2024-04-01 19:05:00,2024-04-01 21:55:00,False,False,0,False,True,,2024-04-01,19:05:00,2024-04-01,21:55:00,1283,396,1679,2245,,,,,2024-02-07
FM810,1,FM,上海航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,145,0,73E,波音738(中),M,2024-04-01 18:50:00,2024-04-01 21:15:00,False,False,0,False,True,,2024-04-01,18:50:00,2024-04-01,21:15:00,750,340,1090,1572,,,,,2024-02-07
HO1292,1,HO,吉祥航空,星空联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,160,0,32S,空客32S(中),M,2024-04-01 20:40:00,2024-04-01 23:20:00,False,False,0,False,True,,2024-04-01,20:40:00,2024-04-01,23:20:00,530,397,927,1459,,,,,2024-02-07
CX360,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,333,空客330(大),L,2024-04-01 13:40:00,2024-04-01 16:30:00,False,False,0,False,True,,2024-04-01,13:40:00,2024-04-01,16:30:00,2287,396,2683,3249,,,,,2024-02-07
MU504,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,185,0,325,空客321(中),M,2024-04-01 15:55:00,2024-04-01 19:00:00,False,False,0,False,True,,2024-04-01,15:55:00,2024-04-01,19:00:00,750,340,1090,1706,,,,,2024-02-07
MU506,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,160,0,323,空客320(中),M,2024-04-01 20:05:00,2024-04-01 22:45:00,False,False,0,False,True,,2024-04-01,20:05:00,2024-04-01,22:45:00,750,340,1090,1622,,,,,2024-02-07
CX316,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,333,空客330(大),L,2024-04-01 08:15:00,2024-04-01 11:05:00,False,False,0,False,True,,2024-04-01,08:15:00,2024-04-01,11:05:00,1762,396,2158,2724,,,,,2024-02-07
HX234,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,320,空客320(中),M,2024-04-01 21:00:00,2024-04-01 23:50:00,False,False,0,False,True,,2024-04-01,21:00:00,2024-04-01,23:50:00,1572,396,1968,2534,,,,,2024-02-07
MU510,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,185,0,32L,空客321(中),M,2024-04-01 17:05:00,2024-04-01 20:10:00,False,False,0,False,True,,2024-04-01,17:05:00,2024-04-01,20:10:00,1330,340,1670,2286,,,,,2024-02-07
CX376,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,175,0,333,空客330(大),L,2024-04-01 10:20:00,2024-04-01 13:15:00,False,False,0,False,True,,2024-04-01,10:20:00,2024-04-01,13:15:00,1762,396,2158,2740,,,,,2024-02-07
MU508,1,MU,东方航空,天合联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,160,0,320,空客320(中),M,2024-04-01 15:05:00,2024-04-01 17:45:00,False,False,0,False,True,,2024-04-01,15:05:00,2024-04-01,17:45:00,750,340,1090,1622,,,,,2024-02-07
CX364,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,170,0,333,空客330(大),L,2024-04-01 17:25:00,2024-04-01 20:15:00,False,False,0,False,True,,2024-04-01,17:25:00,2024-04-01,20:15:00,1762,396,2158,2724,,,,,2024-02-07
