航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,isLowCostCarrier,出发日期,出发时间,到达日期,到达时间,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,stopList,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
UO652,1,UO,香港快运航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,270,0,320,空客320(中),M,2024-04-01 15:00:00,2024-04-01 20:30:00,False,False,0,False,True,True,2024-04-01,15:00:00,2024-04-01,20:30:00,,,,,,1170,430,1600,2499,,,,,2024-02-10
JL736,1,JL,日本航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,265,0,788,波音787(大),L,2024-04-01 10:40:00,2024-04-01 16:05:00,False,False,0,False,True,,2024-04-01,10:40:00,2024-04-01,16:05:00,,,,,,3599,749,4348,5230,,,,,2024-02-10
UO628,1,UO,香港快运航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,260,0,321,空客321(中),M,2024-04-01 20:00:00,2024-04-02 01:20:00,False,False,0,False,True,True,2024-04-01,20:00:00,2024-04-02,01:20:00,,,,,,1170,430,1600,2465,,,,,2024-02-10
CX504,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,265,0,333,空客330(大),L,2024-04-01 09:05:00,2024-04-01 14:30:00,False,False,0,False,True,,2024-04-01,09:05:00,2024-04-01,14:30:00,,,,,,4708,432,5140,6022,,,,,2024-02-10
JL7042,1,JL,日本航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,265,0,333,空客330(大),L,2024-04-01 09:05:00,2024-04-01 14:30:00,False,False,0,False,True,,2024-04-01,09:05:00,2024-04-01,14:30:00,CX,国泰航空,寰宇一家,CX504,,6040,757,6797,7679,,,,,2024-02-10
UO646,1,UO,香港快运航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,265,0,321,空客321(中),M,2024-04-01 13:00:00,2024-04-01 18:25:00,False,False,0,False,True,True,2024-04-01,13:00:00,2024-04-01,18:25:00,,,,,,1170,430,1600,2482,,,,,2024-02-10
NH860,1,NH,全日空航空,星空联盟,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,255,0,788,波音787(大),L,2024-04-01 14:30:00,2024-04-01 19:45:00,False,False,0,False,True,,2024-04-01,14:30:00,2024-04-01,19:45:00,,,,,,4032,737,4769,5618,,,,,2024-02-10
CX524,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,265,0,333,空客330(大),L,2024-04-01 01:20:00,2024-04-01 06:45:00,False,False,0,False,True,,2024-04-01,01:20:00,2024-04-01,06:45:00,,,,,,4708,432,5140,6022,,,,,2024-02-10
UO622,1,UO,香港快运航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,260,0,321,空客321(中),M,2024-04-01 17:35:00,2024-04-01 22:55:00,False,False,0,False,True,True,2024-04-01,17:35:00,2024-04-01,22:55:00,,,,,,1325,430,1755,2620,,,,,2024-02-10
CX526,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,270,0,333,空客330(大),L,2024-04-01 08:10:00,2024-04-01 13:40:00,False,False,0,False,True,,2024-04-01,08:10:00,2024-04-01,13:40:00,,,,,,4708,432,5140,6039,,,,,2024-02-10
JL7032,1,JL,日本航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,255,0,333,空客330(大),L,2024-04-01 16:20:00,2024-04-01 21:35:00,False,False,0,False,True,,2024-04-01,16:20:00,2024-04-01,21:35:00,CX,国泰航空,寰宇一家,CX542,,6040,757,6797,7646,,,,,2024-02-10
HX606,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,275,0,320,空客320(中),M,2024-04-01 02:45:00,2024-04-01 08:20:00,False,False,0,False,True,,2024-04-01,02:45:00,2024-04-01,08:20:00,,,,,,1411,432,1843,2758,,,,,2024-02-10
JL7030,1,JL,日本航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,250,0,77W,波音777(大),L,2024-04-01 08:45:00,2024-04-01 13:55:00,False,False,0,False,True,,2024-04-01,08:45:00,2024-04-01,13:55:00,CX,国泰航空,寰宇一家,CX548,,6277,757,7034,7866,,,,,2024-02-10
JL7046,1,JL,日本航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,275,0,333,空客330(大),L,2024-04-01 10:30:00,2024-04-01 16:05:00,False,False,0,False,True,,2024-04-01,10:30:00,2024-04-01,16:05:00,CX,国泰航空,寰宇一家,CX520,,6040,757,6797,7712,,,,,2024-02-10
UO624,1,UO,香港快运航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,255,0,321,空客321(中),M,2024-04-01 23:40:00,2024-04-02 04:55:00,False,False,0,False,True,True,2024-04-01,23:40:00,2024-04-02,04:55:00,,,,,,1501,430,1931,2780,,,,,2024-02-10
UO848,1,UO,香港快运航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,270,0,321,空客321(中),M,2024-04-01 09:15:00,2024-04-01 14:45:00,False,False,0,False,True,True,2024-04-01,09:15:00,2024-04-01,14:45:00,,,,,,1708,430,2138,3037,,,,,2024-02-10
CX450,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,390,0,333,空客330(大),L,2024-04-01 09:50:00,2024-04-01 17:20:00,False,False,1,False,True,,2024-04-01,09:50:00,2024-04-01,17:20:00,,,,,"[{'countryName': '中国', 'provinceId': 53, 'cityCode': 'TPE', 'cityName': '台北', 'airportCode': 'TPE', 'airportName': '桃园机场', 'duration': 70, 'luggageDirectType': 0}]",4708,546,5254,6552,,,,,2024-02-10
JL7048,1,JL,日本航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,265,0,333,空客330(大),L,2024-04-01 15:10:00,2024-04-01 20:35:00,False,False,0,False,True,,2024-04-01,15:10:00,2024-04-01,20:35:00,CX,国泰航空,寰宇一家,CX500,,6040,757,6797,7679,,,,,2024-02-10
JL7044,1,JL,日本航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,390,0,333,空客330(大),L,2024-04-01 09:50:00,2024-04-01 17:20:00,False,False,1,False,True,,2024-04-01,09:50:00,2024-04-01,17:20:00,CX,国泰航空,寰宇一家,CX450,"[{'countryName': '中国', 'provinceId': 53, 'cityCode': 'TPE', 'cityName': '台北', 'airportCode': 'TPE', 'airportName': '桃园机场', 'duration': 70, 'luggageDirectType': 0}]",6038,872,6910,8208,,,,,2024-02-10
JL7026,1,JL,日本航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,270,0,333,空客330(大),L,2024-04-01 08:10:00,2024-04-01 13:40:00,False,False,0,False,True,,2024-04-01,08:10:00,2024-04-01,13:40:00,CX,国泰航空,寰宇一家,CX526,,6040,757,6797,7696,,,,,2024-02-10
UO650,1,UO,香港快运航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,270,0,321,空客321(中),M,2024-04-01 14:15:00,2024-04-01 19:45:00,False,False,0,False,True,True,2024-04-01,14:15:00,2024-04-01,19:45:00,,,,,,1170,430,1600,2499,,,,,2024-02-10
CX548,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,250,0,77W,波音777(大),L,2024-04-01 08:45:00,2024-04-01 13:55:00,False,False,0,False,True,,2024-04-01,08:45:00,2024-04-01,13:55:00,,,,,,5192,432,5624,6456,,,,,2024-02-10
CX520,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,275,0,333,空客330(大),L,2024-04-01 10:30:00,2024-04-01 16:05:00,False,False,0,False,True,,2024-04-01,10:30:00,2024-04-01,16:05:00,,,,,,4708,432,5140,6055,,,,,2024-02-10
CX500,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,265,0,333,空客330(大),L,2024-04-01 15:10:00,2024-04-01 20:35:00,False,False,0,False,True,,2024-04-01,15:10:00,2024-04-01,20:35:00,,,,,,4708,432,5140,6022,,,,,2024-02-10
HX610,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,270,0,333,空客330(大),L,2024-04-01 15:25:00,2024-04-01 20:55:00,False,False,0,False,True,,2024-04-01,15:25:00,2024-04-01,20:55:00,,,,,,1782,432,2214,3113,,,,,2024-02-10
CX542,1,CX,国泰航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,255,0,333,空客330(大),L,2024-04-01 16:20:00,2024-04-01 21:35:00,False,False,0,False,True,,2024-04-01,16:20:00,2024-04-01,21:35:00,,,,,,5192,432,5624,6473,,,,,2024-02-10
JL026,1,JL,日本航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,250,0,789,波音787(大),L,2024-04-01 15:15:00,2024-04-01 20:25:00,False,False,0,False,True,,2024-04-01,15:15:00,2024-04-01,20:25:00,,,,,,3599,749,4348,5180,,,,,2024-02-10
UO870,1,UO,香港快运航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,270,0,321,空客321(中),M,2024-04-01 10:35:00,2024-04-01 16:05:00,False,False,0,False,True,True,2024-04-01,10:35:00,2024-04-01,16:05:00,,,,,,1501,430,1931,2830,,,,,2024-02-10
HX608,1,HX,香港航空,,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,280,0,333,空客330(大),L,2024-04-01 09:15:00,2024-04-01 14:55:00,False,False,0,False,True,,2024-04-01,09:15:00,2024-04-01,14:55:00,,,,,,1782,432,2214,3146,,,,,2024-02-10
JL7040,1,JL,日本航空,寰宇一家,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,265,0,333,空客330(大),L,2024-04-01 01:20:00,2024-04-01 06:45:00,False,False,0,False,True,,2024-04-01,01:20:00,2024-04-01,06:45:00,CX,国泰航空,寰宇一家,CX524,,6040,757,6797,7679,,,,,2024-02-10
