航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,isLowCostCarrier,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
MU575,1,MU,东方航空,天合联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,185,0,773,波音777(大),L,2024-04-01 17:15:00,2024-04-01 21:20:00,False,False,0,False,True,2024-04-01,17:15:00,2024-04-01,21:20:00,,,,,,3030,404,3434,4050,,,,,2024-03-10
MU727,1,MU,东方航空,天合联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,185,0,325,空客321(中),M,2024-04-01 07:55:00,2024-04-01 12:00:00,False,False,0,False,True,2024-04-01,07:55:00,2024-04-01,12:00:00,,,,,,3030,404,3434,4050,,,,,2024-03-10
9C8515,1,9C,春秋航空,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,170,0,320,空客320(中),M,2024-04-01 19:10:00,2024-04-01 23:00:00,False,False,0,False,True,2024-04-01,19:10:00,2024-04-01,23:00:00,True,,,,,1400,402,1802,2368,,,,,2024-03-10
HO3139,1,HO,吉祥航空,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,175,0,320,空客320(中),M,2024-04-01 08:25:00,2024-04-01 12:20:00,False,False,0,False,True,2024-04-01,08:25:00,2024-04-01,12:20:00,,NH,全日空航空,星空联盟,NH972,7133,458,7591,8173,,,,,2024-03-10
NH968,1,NH,全日空航空,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,175,0,788,波音787(大),L,2024-04-01 01:35:00,2024-04-01 05:30:00,False,False,0,False,True,2024-04-01,01:35:00,2024-04-01,05:30:00,,,,,,2997,458,3455,4037,,,,,2024-03-10
CA919,1,CA,中国国航,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,160,0,32A,空客320(中),M,2024-04-01 15:05:00,2024-04-01 18:45:00,False,False,0,False,True,2024-04-01,15:05:00,2024-04-01,18:45:00,,,,,,5250,400,5650,6182,,,,,2024-03-10
CA929,1,CA,中国国航,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,170,0,359,空客350(大),L,2024-04-01 10:00:00,2024-04-01 13:50:00,False,False,0,False,True,2024-04-01,10:00:00,2024-04-01,13:50:00,,,,,,3900,400,4300,4866,,,,,2024-03-10
NH972,1,NH,全日空航空,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,175,0,320,空客320(中),M,2024-04-01 08:25:00,2024-04-01 12:20:00,False,False,0,False,True,2024-04-01,08:25:00,2024-04-01,12:20:00,,,,,,4521,458,4979,5561,,,,,2024-03-10
MU537,1,MU,东方航空,天合联盟,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,180,0,33L,空客330(大),L,2024-04-01 09:30:00,2024-04-01 13:30:00,False,False,0,False,True,2024-04-01,09:30:00,2024-04-01,13:30:00,,,,,,3030,404,3434,4033,,,,,2024-03-10
JL086,1,JL,日本航空,寰宇一家,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,180,0,767,波音767(大),L,2024-04-01 16:05:00,2024-04-01 20:05:00,False,False,0,False,True,2024-04-01,16:05:00,2024-04-01,20:05:00,,,,,,3402,553,3955,4554,,,,,2024-03-10
