航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,isLowCostCarrier,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
FM815,1,FM,上海航空,天合联盟,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,190,0,789,波音787(大),L,2024-04-01 08:20:00,2024-04-01 12:30:00,False,False,0,False,True,2024-04-01,08:20:00,2024-04-01,12:30:00,,,,,,3030,404,3434,4066,,,,,2024-03-10
CZ8309,1,CZ,南方航空,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,185,0,32M,空客321(中),M,2024-04-01 09:00:00,2024-04-01 13:05:00,False,False,0,False,True,2024-04-01,09:00:00,2024-04-01,13:05:00,,,,,,2570,399,2969,3585,,,,,2024-03-10
NH970,1,NH,全日空航空,星空联盟,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,190,0,781,波音787(大),L,2024-04-01 13:35:00,2024-04-01 17:45:00,False,False,0,False,True,2024-04-01,13:35:00,2024-04-01,17:45:00,,,,,,3079,458,3537,4169,,,,,2024-03-10
HO3131,1,HO,吉祥航空,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,170,0,789,波音787(大),L,2024-04-01 13:05:00,2024-04-01 16:55:00,False,False,0,False,True,2024-04-01,13:05:00,2024-04-01,16:55:00,,NH,全日空航空,星空联盟,NH920,5093,458,5551,6117,,,,,2024-03-10
JL080,1,JL,日本航空,寰宇一家,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,180,0,773,波音777(大),L,2024-04-01 09:00:00,2024-04-01 13:00:00,False,False,0,False,True,2024-04-01,09:00:00,2024-04-01,13:00:00,,,,,,4160,553,4713,5312,,,,,2024-03-10
HO1379,1,HO,吉祥航空,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,170,0,789,波音787(大),L,2024-04-01 08:20:00,2024-04-01 12:10:00,False,False,0,False,True,2024-04-01,08:20:00,2024-04-01,12:10:00,,,,,,2150,458,2608,3174,,,,,2024-03-10
MU523,1,MU,东方航空,天合联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,165,0,359,空客350(大),L,2024-04-01 09:05:00,2024-04-01 12:50:00,False,False,0,False,True,2024-04-01,09:05:00,2024-04-01,12:50:00,,,,,,2730,404,3134,3683,,,,,2024-03-10
GK036,1,GK,捷星日本,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T3,195,0,320,空客320(中),M,2024-04-01 02:05:00,2024-04-01 06:20:00,False,False,0,False,True,2024-04-01,02:05:00,2024-04-01,06:20:00,True,,,,,1620,91,1711,2360,,,,,2024-03-10
HO3137,1,HO,吉祥航空,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,175,0,788,波音787(大),L,2024-04-01 01:35:00,2024-04-01 05:30:00,False,False,0,False,True,2024-04-01,01:35:00,2024-04-01,05:30:00,,NH,全日空航空,星空联盟,NH968,7133,458,7591,8173,6665,458,7123,7705,2024-03-10
FM895,1,FM,上海航空,天合联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,175,0,73E,波音738(中),M,2024-04-01 11:55:00,2024-04-01 15:50:00,False,False,0,False,True,2024-04-01,11:55:00,2024-04-01,15:50:00,,,,,,4130,404,4534,5116,,,,,2024-03-10
CA923,1,CA,中国国航,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,180,0,321,空客321(中),M,2024-04-01 08:20:00,2024-04-01 12:20:00,False,False,0,False,True,2024-04-01,08:20:00,2024-04-01,12:20:00,,,,,,3900,400,4300,4899,,,,,2024-03-10
9C6217,1,9C,春秋航空,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T3,185,0,320,空客320(中),M,2024-04-01 14:55:00,2024-04-01 19:00:00,False,False,0,False,True,2024-04-01,14:55:00,2024-04-01,19:00:00,True,,,,,1600,402,2002,2618,,,,,2024-03-10
MU521,1,MU,东方航空,天合联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,190,0,33E,空客330(大),L,2024-04-01 11:45:00,2024-04-01 15:55:00,False,False,0,False,True,2024-04-01,11:45:00,2024-04-01,15:55:00,,,,,,3430,404,3834,4466,,,,,2024-03-10
MM898,1,MM,日本乐桃航空,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,175,0,32N,空客320(中),M,2024-04-01 01:05:00,2024-04-01 05:00:00,False,False,0,False,True,2024-04-01,01:05:00,2024-04-01,05:00:00,True,,,,,1448,90,1538,2120,,,,,2024-03-10
NH920,1,NH,全日空航空,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,170,0,789,波音787(大),L,2024-04-01 13:05:00,2024-04-01 16:55:00,False,False,0,False,True,2024-04-01,13:05:00,2024-04-01,16:55:00,,,,,,2925,458,3383,3949,,,,,2024-03-10
CA157,1,CA,中国国航,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,165,0,321,空客321(中),M,2024-04-01 16:55:00,2024-04-01 20:40:00,False,False,0,False,True,2024-04-01,16:55:00,2024-04-01,20:40:00,,,,,,3900,400,4300,4849,,,,,2024-03-10
JL082,1,JL,日本航空,寰宇一家,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,175,0,773,波音777(大),L,2024-04-01 12:50:00,2024-04-01 16:45:00,False,False,0,False,True,2024-04-01,12:50:00,2024-04-01,16:45:00,,,,,,4160,553,4713,5295,,,,,2024-03-10
MU271,1,MU,东方航空,天合联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,175,0,325,空客321(中),M,2024-04-01 17:00:00,2024-04-01 20:55:00,False,False,0,False,True,2024-04-01,17:00:00,2024-04-01,20:55:00,,,,,,3030,404,3434,4016,,,,,2024-03-10
