航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,isLowCostCarrier,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
HO3139,1,HO,吉祥航空,星空联盟,NH,全日空航空,星空联盟,NH972,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,175,0,320,空客320(中),M,2024-04-01 08:25:00,2024-04-01 12:20:00,False,False,0,False,True,2024-04-01,08:25:00,2024-04-01,12:20:00,,,,,,15858,458,16316,16898,2024-03-31
NH968,1,NH,全日空航空,星空联盟,,,,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,175,0,788,波音787(大),L,2024-04-01 01:35:00,2024-04-01 05:30:00,False,False,0,False,True,2024-04-01,01:35:00,2024-04-01,05:30:00,,4596,458,5054,5636,,,,,2024-03-31
CA919,1,CA,中国国航,星空联盟,,,,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,160,0,332,空客330(大),L,2024-04-01 15:05:00,2024-04-01 18:45:00,False,False,0,False,True,2024-04-01,15:05:00,2024-04-01,18:45:00,,6680,400,7080,7612,,,,,2024-03-31
CA929,1,CA,中国国航,星空联盟,,,,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,170,0,359,空客350(大),L,2024-04-01 10:00:00,2024-04-01 13:50:00,False,False,0,False,True,2024-04-01,10:00:00,2024-04-01,13:50:00,,5520,400,5920,6486,,,,,2024-03-31
NH972,1,NH,全日空航空,星空联盟,,,,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,175,0,320,空客320(中),M,2024-04-01 08:25:00,2024-04-01 12:20:00,False,False,0,False,True,2024-04-01,08:25:00,2024-04-01,12:20:00,,10463,458,10921,11503,9566,458,10024,10606,2024-03-31
MU537,1,MU,东方航空,天合联盟,,,,,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,180,0,333,空客330(大),L,2024-04-01 09:30:00,2024-04-01 13:30:00,False,False,0,False,True,2024-04-01,09:30:00,2024-04-01,13:30:00,,6900,404,7304,7903,,,,,2024-03-31
JL086,1,JL,日本航空,寰宇一家,,,,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,180,0,767,波音767(大),L,2024-04-01 16:05:00,2024-04-01 20:05:00,False,False,0,False,True,2024-04-01,16:05:00,2024-04-01,20:05:00,,6315,553,6868,7467,,,,,2024-03-31
CZ8309,1,CZ,南方航空,,,,,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,185,0,32M,空客321(中),M,2024-04-01 09:00:00,2024-04-01 13:05:00,False,False,0,False,True,2024-04-01,09:00:00,2024-04-01,13:05:00,,4770,399,5169,5785,,,,,2024-03-31
FM815,1,FM,上海航空,天合联盟,,,,,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,190,0,789,波音787(大),L,2024-04-01 08:20:00,2024-04-01 12:30:00,False,False,0,False,True,2024-04-01,08:20:00,2024-04-01,12:30:00,,6900,404,7304,7936,,,,,2024-03-31
CA6697,1,CA,中国国航,星空联盟,NH,全日空航空,星空联盟,NH972,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,175,0,320,空客320(中),M,2024-04-01 08:25:00,2024-04-01 12:20:00,False,False,0,False,True,2024-04-01,08:25:00,2024-04-01,12:20:00,,,,,,14090,400,14490,15072,2024-03-31
